Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TaskFlow.Api\TaskFlow.Api.csproj,File,TaskFlow.Api\TaskFlow.Api.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.10,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.10  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TaskFlow.Api\TaskFlow.Api.csproj,File,TaskFlow.Api\TaskFlow.Api.csproj,,,Microsoft.EntityFrameworkCore 9.0.10,,,,,"Microsoft.EntityFrameworkCore, 9.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TaskFlow.Api\TaskFlow.Api.csproj,File,TaskFlow.Api\TaskFlow.Api.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 9.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TaskFlow.Api\TaskFlow.Api.csproj,File,TaskFlow.Api\TaskFlow.Api.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,TaskFlow.Api\TaskFlow.Api.csproj,File,TaskFlow.Api\TaskFlow.Api.csproj,,,Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore 9.0.10,,,,,"Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore, 9.0.10  Recommendation:  Remove Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore, and replace with new package Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore 10.0.5"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,TaskFlow.Api\TaskFlow.Api.csproj,File,TaskFlow.Api\TaskFlow.Api.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.22.1,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.22.1  Recommendation:  No supported version found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,TaskFlow.Api\TaskFlow.Api.csproj,File,TaskFlow.Api\TaskFlow.Api.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,TaskFlow.Api\TaskFlow.Api.csproj,File,TaskFlow.Api\Middleware\ValidationMiddleware.cs,59,16,"M:System.Text.Json.JsonSerializer.Deserialize(System.String,System.Type,System.Text.Json.JsonSerializerOptions)",,,,,"model = JsonSerializer.Deserialize(body, modelType, _jsonOptions);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,TaskFlow.Api\TaskFlow.Api.csproj,File,TaskFlow.Api\Extensions\LoggingServiceExtensions.cs,33,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"Log.Logger = new LoggerConfiguration()              .WriteTo.Console()              .WriteTo.File(                  path: logPath,                  rollingInterval: RollingInterval.Day,                  shared: true,                  flushToDiskInterval: TimeSpan.FromSeconds(1))              .CreateLogger();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,TaskFlow.Api\TaskFlow.Api.csproj,File,TaskFlow.Api\Program.cs,35,8,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var shouldMigrate = env.IsDevelopment()                              || builder.Configuration.GetValue<bool>(""Database:MigrateOnStartup"");"
